,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,0
64,Andaman and Nicobar Islands,NICOBARS,2010.0,Autumn,Rice,3.5,10.0,
65,Andaman and Nicobar Islands,NICOBARS,2010.0,Autumn,Sugarcane,13.4,41.75,
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Autumn,Rice,6791.0,20118.0,
112,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Autumn,Sugarcane,73.33,889.2,
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Autumn,Rice,1595.5,3788.0,
186,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Autumn,Sugarcane,67.5,402.0,
12377,Assam,BAKSA,2005.0,Autumn,Rice,17083.0,15415.0,
12407,Assam,BAKSA,2006.0,Autumn,Rice,26235.0,23208.0,
12439,Assam,BAKSA,2007.0,Autumn,Rice,21551.0,20266.0,
12473,Assam,BAKSA,2008.0,Autumn,Rice,13587.0,18640.0,
12507,Assam,BAKSA,2009.0,Autumn,Rice,13217.0,21279.0,
12541,Assam,BAKSA,2010.0,Autumn,Rice,11562.0,13489.0,
12575,Assam,BAKSA,2011.0,Autumn,Paddy,10325.0,14340.0,
12576,Assam,BAKSA,2011.0,Autumn,Rice,10325.0,14340.0,
12614,Assam,BAKSA,2012.0,Autumn,Paddy,11780.0,16636.0,
12615,Assam,BAKSA,2012.0,Autumn,Rice,11780.0,16636.0,
12652,Assam,BAKSA,2013.0,Autumn,Paddy,10200.0,16672.0,
12653,Assam,BAKSA,2013.0,Autumn,Rice,10200.0,16672.0,
12691,Assam,BAKSA,2014.0,Autumn,Paddy,10800.0,18283.0,
12692,Assam,BAKSA,2014.0,Autumn,Rice,10800.0,18283.0,
12728,Assam,BARPETA,1997.0,Autumn,Rice,83560.0,43512.0,
12754,Assam,BARPETA,1998.0,Autumn,Rice,83355.0,46436.0,
12782,Assam,BARPETA,1999.0,Autumn,Rice,83830.0,59762.0,
12810,Assam,BARPETA,2000.0,Autumn,Rice,73675.0,60705.0,
12838,Assam,BARPETA,2001.0,Autumn,Rice,56482.0,40845.0,
12870,Assam,BARPETA,2002.0,Autumn,Rice,63725.0,38265.0,
12905,Assam,BARPETA,2003.0,Autumn,Rice,58500.0,41992.0,
12940,Assam,BARPETA,2004.0,Autumn,Rice,60760.0,7597.0,
12968,Assam,BARPETA,2005.0,Autumn,Rice,51500.0,39916.0,
12999,Assam,BARPETA,2006.0,Autumn,Rice,46504.0,29973.0,
13031,Assam,BARPETA,2007.0,Autumn,Rice,33564.0,18202.0,
13065,Assam,BARPETA,2008.0,Autumn,Rice,48880.0,43134.0,
13099,Assam,BARPETA,2009.0,Autumn,Rice,50063.0,40476.0,
13133,Assam,BARPETA,2010.0,Autumn,Rice,39756.0,33805.0,
13167,Assam,BARPETA,2011.0,Autumn,Paddy,27987.0,13767.0,
13168,Assam,BARPETA,2011.0,Autumn,Rice,27987.0,13767.0,
13206,Assam,BARPETA,2012.0,Autumn,Paddy,6346.0,1075.0,
13207,Assam,BARPETA,2012.0,Autumn,Rice,6346.0,1075.0,
13244,Assam,BARPETA,2013.0,Autumn,Paddy,19191.0,16796.0,
13245,Assam,BARPETA,2013.0,Autumn,Rice,19191.0,16796.0,
13283,Assam,BARPETA,2014.0,Autumn,Paddy,17551.0,18634.0,
13284,Assam,BARPETA,2014.0,Autumn,Rice,17551.0,18634.0,
13320,Assam,BONGAIGAON,1997.0,Autumn,Rice,29514.0,14056.0,
13345,Assam,BONGAIGAON,1998.0,Autumn,Rice,33335.0,28062.0,
13373,Assam,BONGAIGAON,1999.0,Autumn,Rice,32940.0,23441.0,
13401,Assam,BONGAIGAON,2000.0,Autumn,Rice,33157.0,30980.0,
13429,Assam,BONGAIGAON,2001.0,Autumn,Rice,33306.0,30266.0,
13461,Assam,BONGAIGAON,2002.0,Autumn,Rice,33750.0,29871.0,
13496,Assam,BONGAIGAON,2003.0,Autumn,Rice,34213.0,32358.0,
13531,Assam,BONGAIGAON,2004.0,Autumn,Rice,34147.0,23886.0,
13559,Assam,BONGAIGAON,2005.0,Autumn,Rice,29128.0,27125.0,
13589,Assam,BONGAIGAON,2006.0,Autumn,Rice,23189.0,16774.0,
13621,Assam,BONGAIGAON,2007.0,Autumn,Rice,22507.0,16954.0,
13655,Assam,BONGAIGAON,2008.0,Autumn,Rice,22147.0,20617.0,
13689,Assam,BONGAIGAON,2009.0,Autumn,Rice,20782.0,14732.0,
13723,Assam,BONGAIGAON,2010.0,Autumn,Rice,16142.0,12826.0,
13757,Assam,BONGAIGAON,2011.0,Autumn,Paddy,15953.0,17728.0,
13758,Assam,BONGAIGAON,2011.0,Autumn,Rice,15953.0,17728.0,
13795,Assam,BONGAIGAON,2012.0,Autumn,Paddy,12922.0,16900.0,
13796,Assam,BONGAIGAON,2012.0,Autumn,Rice,12922.0,16900.0,
13832,Assam,BONGAIGAON,2013.0,Autumn,Paddy,11021.0,17595.0,
13833,Assam,BONGAIGAON,2013.0,Autumn,Rice,11021.0,17595.0,
13870,Assam,BONGAIGAON,2014.0,Autumn,Paddy,5865.0,7909.0,
13871,Assam,BONGAIGAON,2014.0,Autumn,Rice,5865.0,7909.0,
13906,Assam,CACHAR,1997.0,Autumn,Rice,8278.0,7956.0,
13932,Assam,CACHAR,1998.0,Autumn,Rice,8500.0,11894.0,
13959,Assam,CACHAR,1999.0,Autumn,Rice,7800.0,7199.0,
13986,Assam,CACHAR,2000.0,Autumn,Rice,12000.0,26674.0,
14013,Assam,CACHAR,2001.0,Autumn,Rice,9000.0,18819.0,
14044,Assam,CACHAR,2002.0,Autumn,Rice,9010.0,17300.0,
14078,Assam,CACHAR,2003.0,Autumn,Rice,9250.0,18799.0,
14112,Assam,CACHAR,2004.0,Autumn,Rice,10174.0,2140.0,
14139,Assam,CACHAR,2005.0,Autumn,Rice,9411.0,18157.0,
14169,Assam,CACHAR,2006.0,Autumn,Rice,4070.0,6344.0,
14200,Assam,CACHAR,2007.0,Autumn,Rice,10130.0,16238.0,
14233,Assam,CACHAR,2008.0,Autumn,Rice,8350.0,13808.0,
14266,Assam,CACHAR,2009.0,Autumn,Rice,8276.0,16457.0,
14299,Assam,CACHAR,2010.0,Autumn,Rice,8359.0,16087.0,
14332,Assam,CACHAR,2011.0,Autumn,Paddy,7700.0,13116.0,
14333,Assam,CACHAR,2011.0,Autumn,Rice,7700.0,13116.0,
14370,Assam,CACHAR,2012.0,Autumn,Paddy,7680.0,15518.0,
14371,Assam,CACHAR,2012.0,Autumn,Rice,7680.0,15518.0,
14407,Assam,CACHAR,2013.0,Autumn,Paddy,6430.0,10288.0,
14408,Assam,CACHAR,2013.0,Autumn,Rice,6430.0,10288.0,
14445,Assam,CACHAR,2014.0,Autumn,Paddy,6752.0,13796.0,
14446,Assam,CACHAR,2014.0,Autumn,Rice,6752.0,13796.0,
14481,Assam,CHIRANG,2005.0,Autumn,Rice,10417.0,8313.0,
14511,Assam,CHIRANG,2006.0,Autumn,Rice,15038.0,13303.0,
14543,Assam,CHIRANG,2007.0,Autumn,Rice,15899.0,12476.0,
14577,Assam,CHIRANG,2008.0,Autumn,Rice,14608.0,8786.0,
14611,Assam,CHIRANG,2009.0,Autumn,Rice,14635.0,12473.0,
14645,Assam,CHIRANG,2010.0,Autumn,Rice,15372.0,15765.0,
14678,Assam,CHIRANG,2011.0,Autumn,Paddy,15177.0,17161.0,
14679,Assam,CHIRANG,2011.0,Autumn,Rice,15177.0,17161.0,
14717,Assam,CHIRANG,2012.0,Autumn,Paddy,17722.0,22966.0,
14718,Assam,CHIRANG,2012.0,Autumn,Rice,17722.0,22966.0,
14755,Assam,CHIRANG,2013.0,Autumn,Paddy,8879.0,11707.0,
14756,Assam,CHIRANG,2013.0,Autumn,Rice,8879.0,11707.0,
14794,Assam,CHIRANG,2014.0,Autumn,Paddy,6255.0,6553.0,
14795,Assam,CHIRANG,2014.0,Autumn,Rice,6255.0,6553.0,
14830,Assam,DARRANG,1997.0,Autumn,Rice,68782.0,40252.0,
14855,Assam,DARRANG,1998.0,Autumn,Rice,68800.0,59143.0,
14883,Assam,DARRANG,1999.0,Autumn,Rice,68700.0,61025.0,
14911,Assam,DARRANG,2000.0,Autumn,Rice,80258.0,71065.0,
14939,Assam,DARRANG,2001.0,Autumn,Rice,77720.0,86816.0,
14971,Assam,DARRANG,2002.0,Autumn,Rice,62722.0,62640.0,
15006,Assam,DARRANG,2003.0,Autumn,Rice,58340.0,60241.0,
15041,Assam,DARRANG,2004.0,Autumn,Rice,60000.0,33992.0,
15069,Assam,DARRANG,2005.0,Autumn,Rice,33000.0,43188.0,
15100,Assam,DARRANG,2006.0,Autumn,Rice,19861.0,22279.0,
15131,Assam,DARRANG,2007.0,Autumn,Rice,13275.0,15832.0,
15164,Assam,DARRANG,2008.0,Autumn,Rice,12362.0,16859.0,
15196,Assam,DARRANG,2009.0,Autumn,Rice,14624.0,10676.0,
15228,Assam,DARRANG,2010.0,Autumn,Rice,14941.0,20783.0,
15261,Assam,DARRANG,2011.0,Autumn,Paddy,11823.0,19359.0,
15262,Assam,DARRANG,2011.0,Autumn,Rice,11823.0,19359.0,
15298,Assam,DARRANG,2012.0,Autumn,Paddy,7620.0,10527.0,
15299,Assam,DARRANG,2012.0,Autumn,Rice,7620.0,10527.0,
15335,Assam,DARRANG,2013.0,Autumn,Paddy,3616.0,4050.0,
