Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.836,22.996,4.525,32.347,22.29,83.19,130.792,144.423,67.924,83.468,13.002,0.015
1902,1.418,0.024,3.342,50.635,20.196,75.274,113.654,136.677,163.182,56.616,48.689,24.855
1903,3.921,0.565,0.003,19.231,33.389,105.017,289.483,229.913,183.135,212.261,46.414,13.732
1904,0.054,0.136,3.313,3.953,38.472,144.949,120.771,63.3,148.046,103.897,0.322,0.253
1905,0.232,8.914,14.304,62.767,27.41,113.838,60.602,205.497,201.14,22.077,0.284,0
1906,12.785,1.304,16.054,4.032,6.634,244.447,137.526,183.14,109.714,39.327,10.278,4.889
1907,1.019,2.714,11.578,53.881,0.543,207.138,125.14,172.802,111.497,1.573,12.009,14.409
1908,5.086,6.9,8.226,14.014,9.786,77.721,151.364,220.383,429.272,1.867,0.322,0
1909,0.9,0.983,0.137,50.082,9.126,98.497,221.301,143.836,79.32,1.949,0.322,0.048
1910,0.012,0.024,0.718,17.74,11.461,202.264,134.872,152.112,224.343,183.544,47.581,0
1911,0,0.024,3.397,14.375,20.333,126.306,134.638,107.806,95.986,30.773,23.998,13.667
1912,0,29.171,0,19.398,18.674,54.449,202.863,156.17,126.057,37.984,36.935,10.904
1913,0,10.165,0.069,18.559,25.398,79.902,247.005,125.884,131.839,64.403,9.06,0.002
1914,0.012,0.034,0.769,13.177,43.125,206.645,253.576,145.991,217.676,45.178,3.374,2.728
1915,6.597,18.475,31.258,18.061,22.901,193.01,228.171,166.96,154.862,161.615,27.114,0.04
1916,0.098,18.413,0,2.102,14.9,180.756,247.698,205.136,267.998,137.874,63.412,0
1917,0.413,17.042,4.091,23.654,63.406,156.871,253.801,114.807,315.266,141.534,34.153,0.04
1918,8.175,4.922,24.288,33.702,53.401,94.005,131.285,86.945,150.708,17.458,35.806,18.601
1919,10.716,8.626,12.431,15.317,28.623,141.395,111.606,85.087,120.863,76.347,101.13,15.006
1920,4.344,0.024,4.242,16.027,21.124,56.866,148.786,116.286,96.976,10.819,3.925,0
1921,5.137,0,0,15.072,4.047,138.799,160.564,78.957,209.256,71.858,35.281,0
1922,12.054,0.024,0,6.54,28.559,127.774,162.788,147.767,155.481,38.996,35.152,0
1923,1.964,7.932,13.78,17.968,23.488,22.273,200.321,80.459,219.915,58.109,1.463,0
1924,0.928,0,2.153,14.79,22.841,77.634,124.766,127.14,311.031,85.14,114.327,0
1925,0.012,0.024,0,47.803,88,118.373,217.804,158.485,130.753,179.659,5.004,11.415
1926,13.642,0.193,30.796,21.333,33.845,49.543,203.312,117.45,95.461,19.861,1.145,0
1927,9.931,3.753,36.314,7.52,20.668,151.766,237.925,118.364,155.055,64.67,60.406,0
1928,0.012,12.995,22.782,2.483,12.741,164.553,195.254,114.482,292.56,90.526,0.284,9.718
1929,0.101,20.451,0,13.832,15.28,176.698,94.958,138.318,216.833,87.038,0.322,6.57
1930,0,6.782,12.583,22.518,6.67,152.81,87.619,77.221,174.021,124.968,56.051,0.074
1931,0,3.088,16.26,2.013,53.205,207,197.277,123.723,248.71,125.741,35.269,0
1932,0,28.258,0,15.748,23.462,108.696,216.095,130.312,202.652,27.435,59.614,0
1933,14.543,18.258,14.533,22.383,49.073,171.439,145.629,159.597,207.065,129.964,31.704,22.645
1934,0.021,0.024,0.001,14.264,7.685,130.773,241.34,162.513,119.206,33.117,22.677,0
1935,1.874,0.124,0.103,51.553,6.626,67.302,212.156,96.366,215.611,46.703,0.284,0
1936,0.042,41.564,21.685,6.372,114.396,119.377,199.83,164.198,165.411,177.903,53.282,8.05
1937,0,26.882,15.775,69.873,8.168,47.63,177.735,120.088,127.899,66.499,2.383,0.56
1938,0.003,21.742,15.769,13.423,58.299,188.654,190.993,220.412,180.642,60.036,1.219,0.289
1939,0.054,0.099,22.153,5.373,1.871,68.077,142.072,142.369,145.732,144.546,14.32,0
1940,0,1.612,4.349,40.602,71.655,59.484,214.08,146.822,96.39,78.445,22.643,0.457
1941,7.516,11.359,4.047,1.646,16.99,98.997,54.834,82.855,208.427,89.185,4.164,0.926
1942,0,3.173,0.101,47.307,8.849,117.945,185.346,217.055,76.137,15.404,7.154,0.204
1943,2.495,0.04,0.354,36.91,18.737,137.803,119.087,62.38,241.854,79.688,17.321,0
1944,0.193,27.699,41.525,17.113,13.279,66.126,154.318,161.113,187.484,160.667,12.207,0
1945,0.983,0,0,39.675,6.722,81.876,204.54,185.007,169.174,128.726,41.877,4.904
1946,0,19.506,1.646,38.683,32.566,146.483,217.513,121.369,91.039,27.901,125.149,0.924
1947,1.045,7.784,0.841,0.629,7.786,67.526,227.918,202.677,277.108,84.546,39.452,16.964
1948,0.665,9.057,6.544,34.606,32.942,29.989,152.616,124.315,224.063,66.145,73.472,0
1949,0.001,0.486,0.044,12.604,69.898,93.755,203.336,123.952,202.93,102.44,2.171,0
1950,0,35.623,20.027,0.635,28.319,55.375,213.271,113.228,315.515,20.28,34.263,0
1951,0,0.063,32.4,29.329,44.554,92.874,263.094,115.708,111.777,73.766,1.735,5.994
1952,0,4.885,0.05,22.12,32.047,73.249,140.214,113.819,155.291,121.741,0.284,9.512
1953,5.963,0,0,27.916,1.393,185.449,153.986,246.366,223.935,186.009,0.375,0
1954,0,0,5.421,3.754,19.867,73.528,246.302,144.031,301.912,44.939,0.284,8.574
1955,0,0.004,20.109,17.909,46.024,161.945,187.641,208.409,236.244,156.976,16.013,0
1956,0,6.929,0.069,12.485,44.834,193.303,314.613,137.804,149.251,102.844,30.459,2.971
1957,0,2.254,15.306,21.674,29.549,183.783,161.441,210.417,92.759,77.59,0.472,0
1958,15.403,15.62,4.718,24.3,11.684,74.327,263.873,198.803,120.535,94.204,43.209,0
1959,0.22,0.18,0,25.968,31.773,163.398,276.06,258.032,164.784,67.074,3.283,0.071
1960,0,0,38.666,2.255,33.029,144.815,136.985,87.973,228.157,64.611,2.819,4.747
1961,11.627,5.674,0.37,3.616,23.056,164.025,263.535,174.62,148.877,238.435,14.654,0
1962,0.109,38.882,0.797,73.634,8.863,90.692,168.371,211.984,270.513,61.523,59.267,30.485
1963,0,0,5.37,55.947,13.492,185.784,168.95,272.46,102.461,140.883,0.284,0
1964,0.283,1.13,0.016,7.346,2.431,94.172,109.203,144.593,353.678,78.963,15.586,0
1965,2.343,0,9.465,22.065,10.905,65.781,289.625,91.071,211.856,4.64,0.456,0.007
1966,22.345,1.981,0.051,6.952,3.763,51.909,201.317,156.101,235.826,44.201,17.113,17.36
1967,5.22,0,55.741,18.393,2.67,121.521,297.072,118.886,174.662,15.38,0.284,22.617
1968,8.225,20.247,7.127,14.22,15.173,73.792,169.687,31.659,289.595,117.118,18.219,0.086
1969,3.568,0,2.993,2.993,114.69,126.955,222.652,147.961,254.812,116.391,75.643,34.638
1970,7.042,5.442,18.249,28.869,60.078,219.819,121.448,286.734,152.547,34.803,0.284,0
1971,0.682,27.06,8.52,31.144,64.485,116.579,83.919,133.502,144.294,157.171,0.462,0
1972,0,12.87,0,12.861,11.884,101.124,98.286,80.86,104.764,91.876,95.559,2.941
1973,0,0,5.393,6.293,9.277,121.587,146.553,183.772,87.009,289.521,24.25,0.005
1974,0,0.001,1.92,12.413,28.838,87.471,99.136,113.363,138.941,235.558,31.387,0
1975,1.119,21.707,10.584,3.467,31.391,105.465,219.977,180.409,386.414,161.913,19.062,0
1976,0,0,0.136,12.395,16.236,86.019,339.492,184.288,77.843,15.471,38.265,0.097
1977,0,0,1.501,18.677,51.598,83.856,148.914,145.858,94.779,62.156,103.95,9.147
1978,29.068,11.159,5.955,3.679,47.012,220.38,276.507,321.392,177.878,56.12,29.646,1.369
1979,8.135,7.16,0.205,27.93,57.899,96.584,82.096,78.316,266.845,35.804,62.469,1.628
1980,2.415,0,17.585,18.819,13.968,215.15,143.763,222.598,129.95,16.829,3.069,10.366
1981,9.733,0,28.367,21.842,39.781,135.251,222.587,181.785,233.694,147.09,11.415,5.427
1982,0.183,0.123,0.506,23.12,32.843,79.907,232.274,161.944,125.556,89.858,22.934,0
1983,0,3.332,0.739,5.006,41.845,111.732,183.793,303.854,267.054,225.462,4.91,5.778
1984,5.775,1.158,3.269,21.159,8.767,63.04,160.321,77.357,134.657,99.116,4.625,0.822
1985,10.963,0.005,14.221,2.156,6.379,140.763,178.217,94.842,77.311,145.948,0.288,8.577
1986,26.294,15.909,0.184,37.974,7.001,157.601,139.736,236.176,70.99,70.882,62.328,17.724
1987,8.555,0.047,25.931,18.468,22.679,86.393,167.076,186.533,73.93,121.655,68.54,5.221
1988,0,23.177,0.361,34.918,11.144,89.61,310.232,199.97,209.964,32.316,4.14,16.2
1989,0,0,25.757,1.63,13.299,129.011,385.148,131.573,169.817,81.387,4.705,3.749
1990,2.558,13.673,24.253,2.311,118.114,147.387,148.929,241.329,125.153,152.953,39.203,3.029
1991,3.861,0.006,1.735,12.729,20.921,212.118,172.921,194.474,186.333,58.395,33.947,0.454
1992,1.001,0.109,0,6.076,28.647,111.633,138.176,251.243,122.935,45.747,29.532,0
1993,0,0.108,2.259,10.493,19.789,96.603,195.507,158.732,147.317,189.62,0.474,6.632
1994,20.293,8.268,6.684,21.339,16.32,100.996,197.826,200.074,89.836,214.92,53.923,0
1995,22.431,0.109,26.208,1.586,51.059,125.984,252.651,162.626,184.956,295.881,36.475,0
1996,1.236,0.648,1.233,41.26,5.898,103.028,220.095,278.609,132.849,108.53,73.911,1.302
1997,9.478,0,13.66,43.765,9.774,33.484,196.577,156.104,149.108,77.822,72.883,25.234
1998,1.976,3.732,0.216,9.567,17.04,60.592,214.531,221.738,159.175,234.429,49.49,0
1999,0,1.145,0,5.891,55.506,67.216,156.113,183.112,134.237,59.342,0.387,0
2000,0,29.621,0,11.223,43.788,238.784,155.833,408.973,72.511,54.028,2.7,1.218
2001,12.709,0,19.684,14.467,21.469,204.734,91.306,236.461,98.431,130.922,26.666,0.011
2002,28.069,0.082,7.808,5.558,35.647,149.504,91.436,203.221,49.411,90.31,5.317,0
